HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N1.HOG0000000	OG0000000	n4			ctg560_3|biosynthetic									ctg1773_1|biosynthetic				O9290_11900|biosynthetic			O9324_10775|biosynthetic	
N1.HOG0000001	OG0000000	n10	ctg43_18|biosynthetic					O9329_17520|biosynthetic				ctg151_26|biosynthetic										
N1.HOG0000002	OG0000000	n14					ctg57_8|biosynthetic															
N1.HOG0000003	OG0000000	n15		ctg55_28|biosynthetic		ctg608_6|biosynthetic	ctg6_4|biosynthetic			O9300_03835|biosynthetic			O9338_13510|biosynthetic		O9326_00420|biosynthetic	ctg398_7|biosynthetic				O9334_10110|biosynthetic		
N1.HOG0000004	OG0000000	n23	ctg43_17|biosynthetic	ctg55_29|biosynthetic	ctg358_10|biosynthetic	ctg148_24|biosynthetic, ctg608_7|biosynthetic	ctg6_5|biosynthetic	O9329_17525|biosynthetic		O9300_03840|biosynthetic	O9275_03925|biosynthetic	ctg151_27|biosynthetic	O9338_13505|biosynthetic	ctg849_2|biosynthetic	O9326_00665|biosynthetic, O9326_00415|biosynthetic	ctg188_2|biosynthetic, ctg398_8|biosynthetic		O9290_00990|biosynthetic		O9334_10115|biosynthetic		
N1.HOG0000005	OG0000000	n41	ctg156_9|biosynthetic		ctg560_6|biosynthetic	ctg148_25|biosynthetic								ctg238_1|biosynthetic, ctg206_2|biosynthetic		ctg188_3|biosynthetic	ctg25_15|biosynthetic	O9290_11915|biosynthetic, O9290_00985|biosynthetic			O9324_10760|biosynthetic	
N1.HOG0000006	OG0000000	n54		ctg68_2|biosynthetic, ctg217_20|biosynthetic		ctg148_22|biosynthetic, ctg217_3|biosynthetic							O9338_16155|biosynthetic	ctg1396_1|biosynthetic, ctg357_2|biosynthetic	O9326_23810|biosynthetic	ctg122_12|biosynthetic		O9290_01000|biosynthetic, O9290_18875|biosynthetic		O9334_10495|biosynthetic, O9334_00270|biosynthetic		
N1.HOG0000007	OG0000000	n67		ctg196_3|biosynthetic		ctg645_10|biosynthetic							O9338_06840|biosynthetic	ctg982_1|biosynthetic				O9290_07545|biosynthetic		O9334_21255|biosynthetic		
N1.HOG0000008	OG0000000	n73	ctg35_61|biosynthetic		ctg138_7|biosynthetic	ctg682_3|biosynthetic		O9329_24300|biosynthetic			O9275_23075|biosynthetic	ctg71_27|biosynthetic		ctg456_3|biosynthetic	O9326_11030|biosynthetic, O9326_10340|biosynthetic	ctg160_17|biosynthetic	ctg168_17|biosynthetic	O9290_15725|biosynthetic			O9324_18520|biosynthetic	
N1.HOG0000009	OG0000000	n87												ctg1773_3|biosynthetic-additional, ctg1662_2|biosynthetic-additional								
N1.HOG0000010	OG0000000	n89									O9275_21025|biosynthetic, O9275_21135|biosynthetic											
N1.HOG0000011	OG0000000	n93			ctg560_4|biosynthetic									ctg555_1|biosynthetic				O9290_11905|biosynthetic			O9324_10770|biosynthetic	
N1.HOG0000012	OG0000000	n98												ctg1366_2|biosynthetic, ctg1209_19|biosynthetic								
N1.HOG0000013	OG0000000	n102			ctg489_9|biosynthetic	ctg378_1|biosynthetic-additional		O9329_18665|biosynthetic				ctg16_60|biosynthetic		ctg1707_1|biosynthetic	O9326_22475|biosynthetic	ctg148_14|biosynthetic			O9299_06695|biosynthetic		O9324_10000|biosynthetic	O9336_08045|biosynthetic
N1.HOG0000014	OG0000000	n113	ctg114_2|biosynthetic				ctg180_4|biosynthetic	O9329_03630|biosynthetic, O9329_19240|biosynthetic			O9275_05520|biosynthetic	ctg269_8|biosynthetic					ctg125_2|biosynthetic					
N1.HOG0000015	OG0000000	n120			ctg489_8|biosynthetic	ctg299_1|biosynthetic, ctg378_2|biosynthetic, ctg444_4|biosynthetic		O9329_18670|biosynthetic				ctg16_61|biosynthetic	O9338_18415|biosynthetic, O9338_07665|biosynthetic	ctg1707_2|biosynthetic, ctg1364_1|biosynthetic	O9326_22480|biosynthetic-additional			O9290_03545|biosynthetic, O9290_09250|biosynthetic			O9324_09995|biosynthetic-additional	
N1.HOG0000016	OG0000000	n135	ctg68_26|biosynthetic		ctg639_15|biosynthetic, ctg560_1|biosynthetic, ctg638_1|biosynthetic	ctg46_10|biosynthetic, ctg3_1|biosynthetic, ctg286_1|biosynthetic	ctg36_6|biosynthetic				O9275_23110|biosynthetic	ctg109_5|biosynthetic	O9338_18180|biosynthetic	ctg46_1|biosynthetic, ctg1684_1|biosynthetic		ctg35_17|biosynthetic		O9290_26340|biosynthetic, O9290_11890|biosynthetic, O9290_21745|biosynthetic	O9299_05515|biosynthetic		O9324_11520|biosynthetic, O9324_10790|biosynthetic	O9336_11305|biosynthetic
N1.HOG0000017	OG0000000	n156			ctg639_17|biosynthetic	ctg46_13|biosynthetic								ctg521_4|biosynthetic		ctg35_15|biosynthetic		O9290_26330|biosynthetic	O9299_05505|biosynthetic		O9324_11530|biosynthetic	O9336_11295|biosynthetic
N1.HOG0000018	OG0000000	n165			ctg639_9|biosynthetic, ctg489_11|biosynthetic	ctg46_4|biosynthetic, ctg403_2|biosynthetic		O9329_18645|biosynthetic				ctg16_57|biosynthetic	O9338_08830|biosynthetic	ctg326_5|biosynthetic, ctg1328_1|biosynthetic, ctg994_1|hypothetical	O9326_06150|biosynthetic	ctg35_23|biosynthetic, ctg148_18|biosynthetic		O9290_26370|biosynthetic, O9290_18925|biosynthetic	O9299_05545|biosynthetic, O9299_11760|biosynthetic, O9299_17985|biosynthetic		O9324_11490|biosynthetic, O9324_21720|biosynthetic	O9336_11335|biosynthetic, O9336_20655|biosynthetic, O9336_14840|biosynthetic
N1.HOG0000019	OG0000000	n190	ctg114_1|biosynthetic, ctg11_1|biosynthetic				ctg180_3|biosynthetic	O9329_19235|biosynthetic				ctg269_9|biosynthetic					ctg125_1|biosynthetic, ctg59_1|biosynthetic					
N1.HOG0000020	OG0000000	n201									O9275_05385|biosynthetic								O9299_11765|biosynthetic			O9336_20660|biosynthetic
N1.HOG0000021	OG0000000	n204			ctg489_10|biosynthetic			O9329_18655|biosynthetic				ctg16_59|biosynthetic		ctg582_1|biosynthetic		ctg148_15|biosynthetic			O9299_06690|biosynthetic			O9336_08040|biosynthetic
N1.HOG0000022	OG0000000	n211	ctg60_2|biosynthetic					O9329_19230|biosynthetic			O9275_05390|biosynthetic-additional	ctg159_1|biosynthetic, ctg114_4|biosynthetic, ctg269_10|biosynthetic					ctg21_2|biosynthetic					
N1.HOG0000023	OG0000000	n220	ctg68_27|biosynthetic				ctg36_5|biosynthetic				O9275_09375|biosynthetic, O9275_23105|biosynthetic	ctg109_6|biosynthetic										
N1.HOG0000024	OG0000000	n224	ctg68_28|biosynthetic				ctg36_4|biosynthetic				O9275_09370|biosynthetic-additional	ctg109_7|biosynthetic										
N1.HOG0000025	OG0000000	n227						O9329_18630|biosynthetic, O9329_08425|biosynthetic				ctg14_3|biosynthetic, ctg105_2|biosynthetic										
N1.HOG0000026	OG0000001	n1		ctg80_3|biosynthetic	ctg569_4|biosynthetic, ctg569_5|biosynthetic	ctg104_8|biosynthetic, ctg104_2|biosynthetic		O9329_09335|biosynthetic, O9329_09330|biosynthetic		O9300_01895|biosynthetic, O9300_01915|biosynthetic		ctg166_20|biosynthetic	O9338_13705|biosynthetic, O9338_13675|biosynthetic		O9326_16460|biosynthetic	ctg112_4|biosynthetic		O9290_00610|biosynthetic	O9299_10860|biosynthetic, O9299_10855|biosynthetic	O9334_13430|biosynthetic	O9324_19140|biosynthetic, O9324_10480|biosynthetic, O9324_19120|biosynthetic	O9336_14545|biosynthetic, O9336_14550|biosynthetic
N1.HOG0000027	OG0000001	n24		ctg80_5|biosynthetic-additional		ctg156_4|biosynthetic		O9329_19185|biosynthetic		O9300_05610|biosynthetic		ctg166_24|biosynthetic	O9338_10155|biosynthetic	ctg36_1|biosynthetic	O9326_16480|biosynthetic	ctg112_8|biosynthetic		O9290_00630|biosynthetic	O9299_10880|biosynthetic	O9334_13440|biosynthetic-additional	O9324_11190|biosynthetic, O9324_10475|biosynthetic	O9336_14525|biosynthetic
N1.HOG0000028	OG0000002	n1			ctg489_7|transport	ctg444_3|transport		O9329_18675|transport				ctg16_62|transport	O9338_07660|transport		O9326_22465|transport	ctg148_11|transport		O9290_09245|transport	O9299_06705|transport			O9336_08055|transport
N1.HOG0000029	OG0000002	n12	ctg52_46|transport		ctg212_32|transport	ctg432_6|transport		O9329_00605|transport		O9300_08515|transport	O9275_17010|transport	ctg21_36|transport	O9338_03035|transport									
N1.HOG0000030	OG0000002	n21	ctg68_30|transport		ctg639_19|transport	ctg46_16|transport	ctg36_3|transport					ctg109_8|transport		ctg521_1|hypothetical		ctg35_12|transport		O9290_26315|transport	O9299_05495|transport		O9324_11540|transport	O9336_11285|transport
N1.HOG0000031	OG0000002	n31	ctg60_3|transport		ctg560_7|transport		ctg180_1|transport					ctg114_3|transport					ctg21_3|transport	O9290_11920|transport			O9324_10755|transport	
N1.HOG0000032	OG0000003	n1	ctg43_19|biosynthetic	ctg55_27|biosynthetic	ctg358_12|biosynthetic	ctg608_5|biosynthetic	ctg6_3|biosynthetic	O9329_17515|biosynthetic		O9300_03830|biosynthetic	O9275_03440|biosynthetic	ctg151_25|biosynthetic	O9338_13515|biosynthetic		O9326_00425|biosynthetic	ctg398_6|biosynthetic				O9334_10105|biosynthetic		
N1.HOG0000033	OG0000003	n14	ctg175_10|biosynthetic, ctg156_7|biosynthetic, ctg114_6|biosynthetic-additional		ctg639_7|biosynthetic	ctg46_2|biosynthetic	ctg180_7|biosynthetic-additional	O9329_03615|biosynthetic-additional			O9275_14075|biosynthetic	ctg269_5|biosynthetic-additional		ctg326_3|biosynthetic	O9326_03840|biosynthetic	ctg35_25|biosynthetic	ctg50_10|biosynthetic, ctg25_13|biosynthetic, ctg125_6|biosynthetic-additional	O9290_26380|biosynthetic	O9299_05555|biosynthetic		O9324_03960|biosynthetic	O9336_11345|biosynthetic
N1.HOG0000034	OG0000004	n7													O9326_07260|transport	ctg194_10|transport						
N1.HOG0000035	OG0000004	n10		ctg158_63|transport, ctg83_38|transport		ctg148_13|transport	ctg221_36|transport			O9300_05645|transport										O9334_08725|transport, O9334_06915|transport		
N1.HOG0000036	OG0000004	n17	ctg35_77|transport	ctg64_3|biosynthetic-additional			ctg221_15|biosynthetic-additional										ctg168_1|transport		O9299_01385|biosynthetic-additional, O9299_19130|transport	O9334_16485|biosynthetic-additional		O9336_07355|biosynthetic-additional, O9336_00745|transport
N1.HOG0000037	OG0000004	n25						O9329_16045|transport				ctg180_55|transport										
N1.HOG0000038	OG0000004	n26						O9329_24245|transport				ctg71_16|transport										
N1.HOG0000039	OG0000005	n1			ctg212_28|biosynthetic	ctg432_10|biosynthetic	ctg136_6|biosynthetic	O9329_00625|biosynthetic		O9300_08535|biosynthetic	O9275_16975|biosynthetic	ctg21_31|biosynthetic	O9338_03060|biosynthetic									
N1.HOG0000040	OG0000005	n9	ctg52_43|biosynthetic		ctg489_13|biosynthetic		ctg136_3|biosynthetic	O9329_22190|biosynthetic			O9275_16995|biosynthetic	ctg16_55|biosynthetic	O9338_21825|biosynthetic	ctg994_3|biosynthetic	O9326_06160|biosynthetic	ctg148_20|biosynthetic		O9290_18935|biosynthetic	O9299_17975|biosynthetic		O9324_21710|biosynthetic	O9336_14830|biosynthetic
N1.HOG0000041	OG0000006	n2	ctg31_8|hypothetical				ctg151_6|hypothetical					ctg327_11|hypothetical			O9326_10025|hypothetical	ctg304_16|hypothetical	ctg188_8|hypothetical					
N1.HOG0000042	OG0000006	n9								O9300_05620|hypothetical		ctg166_26|hypothetical							O9299_10890|hypothetical			O9336_14515|hypothetical
N1.HOG0000043	OG0000006	n13				ctg148_10|hypothetical	ctg57_25|hypothetical					ctg166_28|hypothetical				ctg4_26|hypothetical		O9290_07475|hypothetical, O9290_00585|hypothetical			O9324_19165|hypothetical	
N1.HOG0000044	OG0000006	n20	ctg175_9|hypothetical														ctg50_9|hypothetical					
N1.HOG0000045	OG0000007	n2																		O9334_08795|hypothetical	O9324_10810|biosynthetic-additional	
N1.HOG0000046	OG0000007	n5	ctg31_20|regulatory			ctg725_5|regulatory	ctg151_17|regulatory	O9329_22595|regulatory		O9300_05655|regulatory		ctg327_26|regulatory	O9338_19575|regulatory				ctg188_20|regulatory	O9290_00360|regulatory				
