Isolate	N0.HOG0000023	N0.HOG0000351
LE17_10A		ctg175_8|hypothetical
LE17_20C	ctg80_5|biosynthetic-additional	
LE18_22.4.newname		
LE19_10.1C	ctg156_4|biosynthetic	
LE19_114.1A		
LE19_12.1	O9329_19185|biosynthetic	
LE19_131.1	O9323_10330|biosynthetic, O9323_00160|biosynthetic	
LE19_195.1	O9300_05610|biosynthetic	
LE19_196.1		O9275_14065|hypothetical
LE19_197	ctg166_24|biosynthetic	
LE19_251	O9338_10155|biosynthetic	
LE19_281	ctg36_1|biosynthetic	
LE19_338.1	O9326_16480|biosynthetic	
LE19_388.1C	ctg112_8|biosynthetic	
LE19_4.1A		ctg50_8|hypothetical
LE19_41.2	O9290_00630|biosynthetic	
LE19_55.1	O9299_10880|biosynthetic	
LE19_8.1	O9334_13440|biosynthetic-additional	
LE19_84.1	O9324_11190|biosynthetic, O9324_10475|biosynthetic	
LE19_98.1	O9336_14525|biosynthetic	
