Isolate	N0.HOG0000023	N0.HOG0000511	N0.HOG0000512	N0.HOG0000513	N0.HOG0000514	N0.HOG0000516	N0.HOG0000517	N0.HOG0000518	N0.HOG0000519	N0.HOG0000520
LE17_10A										
LE17_20C	ctg80_5|biosynthetic-additional									
LE18_22.4.newname		ctg246_2|hypothetical	ctg246_4|biosynthetic-additional	ctg246_8|biosynthetic-additional	ctg246_9|hypothetical	ctg246_18|biosynthetic-additional	ctg246_19|regulatory	ctg431_22|hypothetical	ctg431_23|hypothetical	ctg431_24|hypothetical
LE19_10.1C	ctg156_4|biosynthetic									
LE19_114.1A		ctg57_6|hypothetical	ctg57_9|biosynthetic-additional	ctg57_18|biosynthetic-additional	ctg57_19|hypothetical	ctg57_21|biosynthetic-additional	ctg57_22|regulatory	ctg130_10|hypothetical	ctg130_11|hypothetical	ctg130_12|hypothetical
LE19_12.1	O9329_19185|biosynthetic									
LE19_131.1	O9323_10330|biosynthetic, O9323_00160|biosynthetic									
LE19_195.1	O9300_05610|biosynthetic									
LE19_196.1										
LE19_197	ctg166_24|biosynthetic									
LE19_251	O9338_10155|biosynthetic									
LE19_281	ctg36_1|biosynthetic									
LE19_338.1	O9326_16480|biosynthetic									
LE19_388.1C	ctg112_8|biosynthetic									
LE19_4.1A										
LE19_41.2	O9290_00630|biosynthetic									
LE19_55.1	O9299_10880|biosynthetic									
LE19_8.1	O9334_13440|biosynthetic-additional									
LE19_84.1	O9324_11190|biosynthetic, O9324_10475|biosynthetic									
LE19_98.1	O9336_14525|biosynthetic									
